,title,vote_average,vote_count,popularity
61,Mr. Holland's Opus,6.9,115.0,7.137117
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,11.700115
63,Two If by Sea,4.5,14.0,2.174487
64,Bio-Dome,4.4,110.0,6.387469
65,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,2.49535
66,Two Bits,5.4,11.0,4.046208
67,French Twist,6.0,43.0,2.518051
68,Friday,7.0,513.0,14.56965
69,From Dusk Till Dawn,6.9,1644.0,15.339153
70,Fair Game,4.1,54.0,5.912223
71,Kicking and Screaming,7.0,36.0,3.3672760000000004
72,Les Miserables,6.6,8.0,1.4794459999999998
73,Bed of Roses,5.1,27.0,10.412194
74,Big Bully,3.9,16.0,2.936443
75,Screamers,6.1,154.0,12.758848
76,Nico Icon,7.3,3.0,0.133893
77,The Crossing Guard,6.1,74.0,5.756462
78,The Juror,5.5,91.0,6.010579
79,The White Balloon,7.5,20.0,1.196256
80,Things to Do in Denver When You're Dead,6.7,87.0,4.486179
81,Antonia's Line,7.2,26.0,2.030174
82,Once Upon a Time... When We Were Colored,4.5,2.0,0.252287
83,Last Summer in the Hamptons,0.0,0.0,0.531159
84,Angels and Insects,6.3,17.0,2.1516599999999997
85,White Squall,6.3,86.0,9.568603999999999
86,Dunston Checks In,5.1,59.0,4.814825
87,Black Sheep,6.0,124.0,8.963037
88,Nick of Time,6.1,190.0,6.848591000000001
89,The Journey of August King,6.7,3.0,0.41142399999999996
90,Mary Reilly,5.7,77.0,12.866139
91,Vampire in Brooklyn,4.5,113.0,9.071127
92,Beautiful Girls,6.6,103.0,4.670562
93,Broken Arrow,5.7,459.0,14.957626000000001
94,A Midwinter's Tale,7.5,6.0,0.5133909999999999
95,La Haine,7.9,695.0,12.108196000000001
96,Shopping,5.6,13.0,2.6576470000000003
97,Heidi Fleiss: Hollywood Madam,6.8,4.0,0.638211
98,City Hall,6.0,67.0,4.8072230000000005
99,Bottle Rocket,6.8,285.0,6.904831
100,Mr. Wrong,3.3,16.0,3.329264
101,Unforgettable,5.3,22.0,2.464425
102,Happy Gilmore,6.5,767.0,9.592265
103,The Bridges of Madison County,7.3,397.0,5.951077
104,Nobody Loves Me,5.1,5.0,1.015068
105,Muppet Treasure Island,6.5,93.0,6.902423
106,Catwalk,7.0,2.0,0.976707
107,Headless Body in Topless Bar,0.0,0.0,0.0013460000000000002
108,Braveheart,7.7,3404.0,20.755149
109,Taxi Driver,8.1,2632.0,14.092713
110,Rumble in the Bronx,6.5,245.0,12.314278
111,Before and After,5.8,37.0,2.938293
112,Margaret's Museum,7.5,2.0,0.372697
113,Happiness Is in the Field,7.0,23.0,1.254885
114,Anne Frank Remembered,7.3,4.0,0.243986
115,The Young Poisoner's Handbook,6.9,19.0,6.178497
116,If Lucy Fell,5.4,11.0,2.891918
117,Steal Big Steal Little,5.1,7.0,1.522412
118,Race the Sun,5.2,21.0,1.317878
119,The Boys of St. Vincent,7.0,7.0,0.86539
120,Boomerang,5.4,139.0,6.506983
121,Chungking Express,7.9,249.0,6.778979
122,The Star Maker,6.8,29.0,1.702639
123,Flirting with Disaster,6.3,66.0,5.579088
124,The Neverending Story III: Escape from Fantasia,4.4,105.0,6.252377
125,The Silences of the Palace,4.3,3.0,0.406754
126,Jupiter's Wife,0.0,0.0,0.001178
127,Pie in the Sky,7.0,2.0,0.699066
128,Angela,5.6,9.0,2.197439
129,Frankie Starlight,5.4,4.0,0.637554
130,Jade,5.1,45.0,11.418917
131,Nueba Yol,5.5,1.0,0.29102100000000003
132,Sonic Outlaws,0.0,0.0,0.001838
133,Down Periscope,5.6,110.0,5.184977
134,From the Journals of Jean Seberg,6.5,2.0,0.276401
135,Man of the Year,3.8,2.0,0.5404359999999999
136,The Neon Bible,7.2,5.0,0.370342
137,Target,0.0,0.0,0.0012050000000000001
138,Up Close & Personal,5.9,51.0,3.4027489999999996
139,The Birdcage,6.7,303.0,6.499680000000001
140,Virgin Mary,7.0,2.0,0.9185040000000001
141,The Brothers McMullen,6.3,23.0,2.039196
142,Bad Boys,6.5,1729.0,9.262184
143,The Amazing Panda Adventure,5.0,31.0,2.375865
144,The Basketball Diaries,7.2,472.0,7.415144000000001
145,An Awfully Big Adventure,6.0,11.0,0.922958
146,Amateur,6.5,21.0,1.7590119999999998
147,Apollo 13,7.3,1637.0,18.761467
148,Rob Roy,6.5,151.0,10.193549
149,The Addiction,6.4,46.0,3.137285
150,Batman Forever,5.2,1529.0,13.321354000000001
151,Belle de Jour,7.3,163.0,10.142662
152,Beyond Rangoon,6.4,21.0,2.04189
153,Blue in the Face,6.8,28.0,11.528147
154,Canadian Bacon,5.9,57.0,5.391556
155,Casper,6.0,1045.0,12.812539
156,Clockers,6.8,69.0,4.558992
157,Congo,5.0,214.0,7.260574
158,Crimson Tide,7.0,508.0,8.657364999999999
159,Crumb,7.6,71.0,3.6203879999999997
160,Desperado,6.8,898.0,6.950458
161,Devil in a Blue Dress,6.3,88.0,4.646132
162,Die Hard: With a Vengeance,6.9,2094.0,15.138855
163,The Doom Generation,5.6,57.0,7.120806
164,Feast of July,0.0,0.0,0.523575
165,First Knight,5.9,319.0,15.178338
166,Free Willy 2 - The Adventure Home,5.5,130.0,7.575098
167,Hackers,6.2,406.0,14.810519000000001
168,Jeffrey,6.5,19.0,3.196456
169,Johnny Mnemonic,5.5,380.0,11.715867999999999
170,Judge Dredd,5.4,643.0,8.184814999999999
171,Jury Duty,4.0,34.0,3.676921
172,Kids,6.8,280.0,4.877872
173,Living in Oblivion,7.2,64.0,10.058328999999999
174,Lord of Illusions,5.9,87.0,4.102409
175,Love & Human Remains,7.0,7.0,0.354014
176,Mad Love,5.5,27.0,2.624771
177,Mallrats,6.8,400.0,8.255469999999999
178,Mighty Morphin Power Rangers: The Movie,5.2,153.0,7.024227000000001
179,Moonlight and Valentino,5.6,10.0,1.01115
180,Mute Witness,6.4,36.0,2.466066
181,Nadja,5.9,12.0,7.720056
182,The Net,5.6,359.0,13.304342000000002
183,Nine Months,5.5,171.0,8.482834
184,Party Girl,5.8,14.0,1.165039
185,The Prophecy,6.4,139.0,10.187623
186,Reckless,10.0,1.0,0.11971300000000001
187,Safe,7.2,62.0,8.180047
188,The Scarlet Letter,5.5,111.0,6.752119
189,The Show,5.3,2.0,0.15959600000000002
190,Showgirls,4.9,261.0,17.502375
191,Smoke,7.2,115.0,5.5529459999999995
192,Something to Talk About,5.7,60.0,3.743212
193,Species,5.5,457.0,13.492845
194,The Stars Fell on Henrietta,6.6,6.0,0.913522
195,Strange Days,6.8,334.0,11.223055
196,The Umbrellas of Cherbourg,7.6,119.0,8.133881
197,The Tie That Binds,4.6,9.0,1.8204189999999998
198,Three Wishes,6.1,18.0,11.002046
199,Total Eclipse,6.5,112.0,4.546551999999999
200,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,7.653446000000001
201,Under Siege 2: Dark Territory,5.6,217.0,7.490247
202,Unstrung Heroes,6.4,9.0,2.8816889999999997
203,Unzipped,6.0,6.0,0.7860229999999999
204,A Walk in the Clouds,6.5,168.0,9.715639
205,Waterworld,5.9,1017.0,16.885184
206,White Man's Burden,5.1,25.0,1.8340990000000001
207,Wild Bill,5.9,27.0,8.922139
208,The Browning Version,6.0,11.0,3.727644
209,Bushwhacked,4.9,29.0,3.287036
210,Burnt by the Sun,6.7,35.0,2.4860729999999998
211,Before the Rain,7.7,45.0,3.5256489999999996
212,Before Sunrise,7.7,984.0,11.304979
213,Billy Madison,6.2,464.0,6.638116
214,The Babysitter,4.7,27.0,2.761837
215,Boys on the Side,6.3,48.0,3.030309
216,The Cure,7.2,58.0,2.686342
217,Castle Freak,5.8,40.0,2.2697700000000003
218,Circle of Friends,6.5,30.0,2.605521
219,Clerks,7.4,769.0,10.513367
220,Don Juan DeMarco,6.3,184.0,7.438934
221,Disclosure,5.9,217.0,11.812244
222,Dream Man,2.5,1.0,0.155859
223,Drop Zone,5.1,91.0,9.579155
224,Destiny Turns on the Radio,5.3,9.0,0.710671
225,Death and the Maiden,7.1,92.0,5.484156
226,Dolores Claiborne,7.1,183.0,5.8025
227,Dumb and Dumber,6.5,1894.0,9.844558000000001
228,Eat Drink Man Woman,7.5,76.0,4.860016000000001
229,Exotica,6.5,64.0,5.378467
230,Exit to Eden,4.3,28.0,4.322726
231,Ed Wood,7.3,639.0,11.720358000000001
232,French Kiss,6.2,179.0,9.146544
233,Forget Paris,6.1,38.0,16.236745000000003
234,Far from Home: The Adventures of Yellow Dog,5.6,27.0,2.657337
235,A Goofy Movie,6.7,404.0,10.177977
236,Hideaway,5.0,24.0,8.182165
237,Fluke,6.6,48.0,4.953936
238,Farinelli,5.9,20.0,8.935058
239,Gordy,3.0,4.0,0.398924
240,Gumby: The Movie,5.0,2.0,0.090452
241,The Glass Shield,5.4,9.0,1.012197
242,Hoop Dreams,7.7,91.0,9.47666
243,Heavenly Creatures,6.9,299.0,9.438042
244,Houseguest,6.0,17.0,2.688562
245,Immortal Beloved,6.9,90.0,7.983666
246,Heavyweights,6.0,97.0,9.546707000000001
247,The Hunted,6.0,25.0,2.756986
248,I.Q.,5.9,112.0,5.146351999999999
249,Interview with the Vampire,7.2,1558.0,11.970205
250,Jefferson in Paris,5.2,10.0,1.596058
251,The Jerky Boys,4.8,10.0,0.748846
252,Junior,4.7,381.0,6.710215
253,Just Cause,6.0,124.0,9.195256
254,A Kid in King Arthur's Court,4.3,40.0,5.874511
255,Kiss of Death,5.7,83.0,7.797511999999999
256,Star Wars,8.1,6778.0,42.149696999999996
257,Little Women,7.0,222.0,9.774994
258,A Little Princess,7.4,207.0,7.731725
259,Ladybird Ladybird,7.4,14.0,0.8450799999999999
260,L'Enfer,6.6,22.0,1.9483150000000002
261,Like Water for Chocolate,6.6,70.0,4.126083
262,Legends of the Fall,7.2,636.0,12.199047
263,Major Payne,6.1,164.0,9.253362
264,Little Odessa,6.4,31.0,1.8612919999999997
265,Mi Vida Loca,5.7,9.0,1.788829
266,Love Affair,4.3,11.0,3.290192
267,Losing Isaiah,6.4,28.0,7.698525999999999
268,The Madness of King George,6.7,67.0,4.81307
269,Mary Shelley's Frankenstein,6.1,272.0,14.287753
270,Man of the House,5.1,40.0,2.558118
271,Mixed Nuts,5.2,37.0,2.899608
272,Milk Money,5.6,49.0,3.770115
273,Miracle on 34th Street,6.4,199.0,5.831622
274,Miami Rhapsody,5.6,7.0,1.1372659999999999
275,My Family,7.0,11.0,3.1212880000000003
276,Murder in the First,6.9,140.0,9.518564
277,Nobody's Fool,7.0,56.0,2.891269
278,Nell,6.1,128.0,5.930957
279,New Jersey Drive,6.9,7.0,0.629955
280,New York Cop,0.0,0.0,0.004536999999999999
281,Beyond Bedlam,4.0,4.0,0.42695200000000005
282,Nemesis 2 - Nebula,4.6,10.0,1.466491
283,Nina Takes a Lover,7.4,4.0,0.769522
284,Natural Born Killers,6.9,927.0,11.226856
285,Only You,6.4,92.0,4.936761
286,Once Were Warriors,7.6,106.0,4.025276
287,Poison Ivy II: Lily,4.6,32.0,6.448039
288,Outbreak,6.4,522.0,13.676444
289,Leon: The Professional,8.2,4293.0,20.477329
290,The Perez Family,6.6,9.0,1.4335440000000002
291,A Pyromaniac's Love Story,7.0,2.0,0.46330699999999997
292,Pulp Fiction,8.3,8670.0,140.95023600000002
293,Panther,6.4,6.0,7.1601490000000005
294,Pushing Hands,6.1,9.0,1.638622
295,Priest,6.4,32.0,1.881932
296,Quiz Show,7.1,262.0,7.772505000000001
297,Picture Bride,7.4,5.0,1.296912
298,Queen Margot,7.0,67.0,4.405405
299,The Quick and the Dead,6.2,431.0,7.54701
300,Roommates,6.4,7.0,3.395867
301,Prêt-à-Porter,5.3,33.0,6.2594330000000005
302,Three Colors: Red,7.8,246.0,7.832755000000001
303,Three Colors: Blue,7.7,311.0,8.843517
304,Three Colors: White,7.3,218.0,6.5898
305,"Red Firecracker, Green Firecracker",7.0,2.0,0.07825700000000001
306,Rent-a-Kid,5.1,15.0,1.155255
307,Relative Fear,4.7,3.0,0.499601
308,Stuart Saves His Family,5.0,6.0,1.390885
309,The Swan Princess,6.5,251.0,8.910461999999999
310,The Secret of Roan Inish,6.1,15.0,1.7504810000000002
311,The Specialist,5.5,317.0,10.388183
312,Stargate,6.8,942.0,13.328923999999999
313,The Santa Clause,6.3,501.0,9.665424
314,The Shawshank Redemption,8.5,8358.0,51.645403
315,Shallow Grave,7.0,247.0,8.223025999999999
316,Suture,6.0,7.0,1.298224
317,Strawberry and Chocolate,7.1,16.0,1.7771970000000001
318,Swimming with Sharks,6.7,104.0,5.869261
319,The Sum of Us,6.0,21.0,1.407427
320,Senior Trip,5.7,23.0,5.05806
321,To Live,7.7,62.0,5.2606269999999995
322,Tank Girl,5.5,140.0,7.602086999999999
323,Tales from the Crypt: Demon Knight,6.7,96.0,9.455342
324,Star Trek: Generations,6.4,461.0,8.105708
325,Tales from the Hood,5.4,33.0,2.86007
326,Tom & Viv,5.8,8.0,0.7042039999999999
327,Village of the Damned,5.6,165.0,6.529879
328,Tommy Boy,6.8,321.0,11.971318
329,Vanya on 42nd Street,6.1,15.0,7.039846000000001
330,The Underneath,5.6,15.0,2.059771
331,The Walking Dead,6.6,4.0,0.620873
332,What's Eating Gilbert Grape,7.5,943.0,10.3919
333,Virtuosity,5.4,163.0,5.1883989999999995
334,While You Were Sleeping,6.5,340.0,15.783615
335,The War,6.3,39.0,3.9085959999999997
336,Double Happiness,5.5,2.0,0.372239
337,Muriel's Wedding,6.9,104.0,5.254847
338,The Baby-Sitters Club,5.3,23.0,2.15805
339,Ace Ventura: Pet Detective,6.4,1684.0,11.247957000000001
340,"The Adventures of Priscilla, Queen of the Desert",7.2,174.0,8.328596000000001
341,Backbeat,6.2,37.0,2.487951
342,Bitter Moon,7.0,115.0,11.298195
343,Bullets Over Broadway,7.0,130.0,5.72288
344,Clear and Present Danger,6.4,390.0,7.5132449999999995
345,The Client,6.4,287.0,15.263829000000001
346,"Corrina, Corrina",6.4,83.0,6.924689
347,Crooklyn,6.7,31.0,2.5330220000000003
348,The Crow,7.3,980.0,15.799335999999998
349,Cobb,6.1,29.0,2.5833630000000003
350,The Flintstones,5.0,559.0,15.019585999999999
351,Forrest Gump,8.2,8147.0,48.307194
352,Four Weddings and a Funeral,6.6,654.0,8.990345
353,Higher Learning,6.4,49.0,7.817811
354,I Like It Like That,6.3,4.0,0.28929499999999997
355,I Love Trouble,5.3,41.0,3.570874
356,It Could Happen to You,6.1,154.0,11.272072999999999
357,The Jungle Book,5.9,107.0,10.714235
358,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5.0,0.5688840000000001
359,The Lion King,8.0,5520.0,21.605760999999998
360,Little Buddha,6.0,76.0,5.681522
361,New Nightmare,6.4,297.0,9.860522
362,The Mask,6.6,2550.0,14.134879999999999
363,Maverick,6.6,490.0,15.050326
364,Mrs. Parker and the Vicious Circle,6.3,20.0,4.739054
365,The Naked Gun 33⅓: The Final Insult,6.4,535.0,10.587232
366,The Paper,6.1,40.0,4.006063
367,Reality Bites,6.5,180.0,6.5145919999999995
368,Red Rock West,6.4,71.0,5.137903
369,Ri¢hie Ri¢h,5.4,426.0,6.595255
370,Safe Passage,4.9,7.0,4.931565
371,The River Wild,6.1,214.0,10.511241
372,Speed,6.8,1814.0,10.859292
373,Speechless,5.5,24.0,2.3342259999999997
374,Timecop,5.5,288.0,8.907074
375,True Lies,6.8,1138.0,11.396099000000001
376,When a Man Loves a Woman,6.0,71.0,4.322544000000001
377,Wolf,6.0,221.0,14.063845
378,Wyatt Earp,6.5,203.0,9.277147
379,Bad Company,4.9,12.0,0.912415
380,A Man of No Importance,6.5,2.0,0.406113
381,S.F.W.,6.1,22.0,2.5045290000000002
382,A Low Down Dirty Shame,6.0,31.0,3.0215259999999997
383,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1.0,0.054148
384,Colonel Chabert,5.9,9.0,0.934312
385,"Faster, Pussycat! Kill! Kill!",6.5,59.0,4.220541000000001
386,Jason's Lyric,5.9,9.0,0.912909
387,The Secret Adventures of Tom Thumb,7.1,8.0,0.381704
388,Street Fighter,4.1,330.0,13.584489999999999
389,Coldblooded,6.7,13.0,2.342756
390,Desert Winds,0.0,0.0,0.251223
391,Fall Time,6.3,6.0,1.108494
392,The Fear,3.4,7.0,0.268043
393,Frank and Ollie,7.5,4.0,0.14235699999999998
394,Girl in the Cadillac,10.0,1.0,0.40539200000000003
395,Homage,0.0,0.0,0.014925
396,Mirage,4.0,1.0,0.30295700000000003
397,Open Season,0.0,0.0,0.012456
398,Dos Crímenes,5.0,1.0,0.23337600000000003
399,Brother Minister: The Assassination of Malcolm X,4.0,1.0,0.0368
400,Highlander: The Final Dimension,4.5,110.0,6.8666339999999995
401,Federal Hill,5.0,2.0,0.100685
402,In the Mouth of Madness,7.1,307.0,8.497643
403,8 Seconds,7.2,22.0,1.888534
404,Above the Rim,6.7,40.0,4.38154
405,Addams Family Values,6.5,537.0,17.555909
406,Martin Lawrence: You So Crazy,4.5,4.0,0.394194
407,The Age of Innocence,7.0,172.0,8.013617
408,Airheads,5.8,222.0,7.09232
409,The Air Up There,5.1,42.0,1.8962729999999999
410,Another Stakeout,4.9,58.0,12.967239
411,Bad Girls,4.6,61.0,14.644772
412,Barcelona,6.6,20.0,1.632711
413,Being Human,5.0,15.0,2.783872
414,The Beverly Hillbillies,5.0,86.0,5.673735
415,Beverly Hills Cop III,5.5,445.0,11.787784
416,Black Beauty,6.6,68.0,8.398845
417,Blink,6.3,45.0,3.0028200000000003
418,Blown Away,6.0,126.0,13.155071
419,Blue Chips,5.7,41.0,6.131056
420,Blue Sky,6.1,28.0,4.993829
421,Body Snatchers,5.8,102.0,6.559692999999999
422,Boxing Helena,4.5,59.0,4.304224
423,A Bronx Tale,7.4,447.0,6.115628
424,Cabin Boy,4.9,28.0,1.679042
425,Calendar Girl,3.7,10.0,1.316741
426,Carlito's Way,7.7,805.0,8.698509
427,City Slickers II: The Legend of Curly's Gold,4.9,103.0,8.605703
428,Clean Slate,5.7,25.0,2.724621
429,Cliffhanger,6.1,600.0,9.830853
430,Coneheads,4.8,228.0,10.722729
431,Color of Night,5.4,117.0,14.228963
432,Cops & Robbersons,5.0,36.0,7.042878
433,The Cowboy Way,5.1,38.0,4.286279
434,Dangerous Game,5.4,9.0,2.70097
435,Dave,6.3,205.0,13.696394
436,Dazed and Confused,7.4,588.0,6.8652
437,Demolition Man,6.4,1018.0,11.626116
438,The Endless Summer 2,7.1,12.0,0.408159
439,Even Cowgirls Get the Blues,4.2,29.0,2.970724
440,Fatal Instinct,5.4,37.0,3.555139
441,Farewell My Concubine,7.8,98.0,4.875826999999999
442,The Favor,3.3,6.0,1.344876
443,Fearless,6.8,80.0,9.284624
444,Fear of a Black Hat,5.8,11.0,0.985441
445,With Honors,6.1,54.0,2.969003
446,Flesh and Bone,6.2,22.0,1.896869
447,Widows' Peak,4.3,3.0,0.409427
448,For Love or Money,5.7,77.0,8.468869
449,The Firm,6.6,513.0,9.678367
450,Free Willy,6.0,429.0,5.990572
451,Fresh,7.6,56.0,3.970215
452,The Fugitive,7.2,1240.0,10.089369999999999
453,Geronimo: An American Legend,5.9,44.0,4.653462
454,The Getaway,5.4,81.0,14.214402999999999
455,Getting Even with Dad,4.5,43.0,2.410545
456,Go Fish,3.9,5.0,0.775898
457,A Good Man in Africa,5.2,11.0,5.22583
458,Guilty as Sin,5.6,21.0,5.385108
459,Hard Target,6.1,237.0,7.834351
460,Heaven & Earth,6.4,51.0,4.1905410000000005
461,Hot Shots! Part Deux,6.2,463.0,13.482370999999999
462,Live Nude Girls,4.7,12.0,2.138959
463,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0,5.331753
464,The House of the Spirits,6.7,135.0,10.687795
465,House Party 3,4.6,11.0,0.9960469999999999
466,The Hudsucker Proxy,7.1,280.0,7.550545
467,I'll Do Anything,5.7,18.0,1.7429740000000002
468,In the Army Now,4.7,54.0,6.071466
469,In the Line of Fire,6.8,392.0,12.637158
470,In the Name of the Father,7.6,363.0,7.405895
471,The Inkwell,3.9,5.0,0.6133350000000001
472,What's Love Got to Do with It,6.9,75.0,14.820882999999998
473,Jimmy Hollywood,4.6,17.0,4.563989
474,Judgment Night,6.4,79.0,5.538671
475,Jurassic Park,7.6,4956.0,8.863776
476,Kalifornia,6.5,209.0,8.4337
477,Killing Zoe,6.1,111.0,4.948569
478,King of the Hill,6.4,33.0,4.3753470000000005
479,Lassie,6.1,54.0,3.645342
480,Last Action Hero,6.1,725.0,9.434006
481,Life With Mikey,5.1,24.0,6.446229
482,Lightning Jack,5.7,40.0,2.913584
483,M. Butterfly,6.6,35.0,6.5169760000000005
484,Made in America,5.3,86.0,5.43085
485,Malice,5.9,105.0,9.861672
486,The Man without a Face,6.2,125.0,5.997712
487,Manhattan Murder Mystery,7.1,169.0,8.939404
488,Menace II Society,7.2,179.0,5.260924
489,Executive Decision,5.8,261.0,13.106291
490,In the Realm of the Senses,6.5,112.0,8.932494
491,What Happened Was...,7.0,7.0,0.534606
492,Much Ado About Nothing,7.2,194.0,8.627239999999999
493,Mr. Jones,5.9,35.0,6.579753
494,Mr. Wonderful,5.5,11.0,13.011091
495,Mrs. Doubtfire,7.0,1638.0,11.16553
496,Naked,7.5,105.0,8.665198
497,The Next Karate Kid,4.8,202.0,9.9697
498,The New Age,4.8,5.0,0.5962069999999999
499,No Escape,6.1,86.0,9.715187
500,North,4.8,67.0,15.534707000000001
501,Orlando,6.7,53.0,3.800785
502,A Perfect World,7.2,376.0,8.040589
503,Philadelphia,7.6,1019.0,13.373006
504,The Piano,7.1,290.0,7.436758
505,Poetic Justice,6.9,47.0,6.972599000000001
506,The Program,6.0,28.0,3.199976
507,The Puppet Masters,5.6,41.0,7.272296000000001
508,Radioland Murders,5.8,12.0,8.506727
509,The Ref,6.7,99.0,5.868677
510,The Remains of the Day,7.5,213.0,12.222576
511,Renaissance Man,5.9,83.0,4.985157
512,Rising Sun,5.8,188.0,6.279082
513,The Road to Wellville,5.5,43.0,3.416181
514,RoboCop 3,4.2,309.0,8.685798
515,Robin Hood: Men in Tights,6.4,575.0,17.136672
516,Romeo Is Bleeding,5.7,36.0,9.796318
517,Romper Stomper,6.6,126.0,5.157926
518,Ruby in Paradise,5.6,10.0,0.941994
519,Rudy,7.2,187.0,5.914833
520,The Saint of Fort Washington,4.0,5.0,1.065843
521,Savage Nights,6.2,11.0,1.031556
522,Schindler's List,8.3,4436.0,41.725122999999996
523,The Scout,5.3,37.0,5.7156080000000005
524,Searching for Bobby Fischer,7.3,100.0,12.048587
525,Second Best,5.9,8.0,0.8825959999999999
526,The Secret Garden,7.1,232.0,6.499523
527,Serial Mom,6.4,137.0,5.305311
528,The Shadow,5.4,140.0,7.881107000000001
529,Shadowlands,6.8,61.0,2.9658599999999997
530,Short Cuts,6.9,136.0,8.829336999999999
531,A Simple Twist of Fate,5.7,26.0,4.13516
532,Sirens,5.2,31.0,2.86213
533,Six Degrees of Separation,6.5,75.0,8.730025
534,Sleepless in Seattle,6.5,630.0,10.234919
535,Sliver,4.9,144.0,11.23297
536,Blade Runner,7.9,3833.0,96.272374
537,Son in Law,5.6,81.0,9.122717999999999
538,So I Married an Axe Murderer,6.1,131.0,8.051914
539,Striking Distance,5.4,223.0,13.390917000000002
540,Harem,4.0,4.0,1.825468
541,Super Mario Bros.,4.0,236.0,7.198455
542,Surviving the Game,6.1,53.0,3.6446410000000005
543,Terminal Velocity,5.0,82.0,8.012225
544,Thirty Two Short Films About Glenn Gould,7.4,9.0,0.8730680000000001
545,Threesome,6.3,57.0,10.82236
546,The Nightmare Before Christmas,7.6,2135.0,17.730913
547,The Three Musketeers,6.2,219.0,6.34785
548,Tombstone,7.4,632.0,11.338194
549,Trial by Jury,5.5,5.0,0.8558600000000001
550,True Romance,7.5,762.0,17.189328
551,The War Room,7.3,19.0,1.273617
552,The Pagemaster,6.2,178.0,7.436000999999999
553,"Paris, France",6.0,2.0,0.741522
554,"The Beans of Egypt, Maine",0.0,1.0,0.38247
555,Killer,3.0,2.0,0.422224
556,Welcome to the Dollhouse,6.9,103.0,5.14056
557,Germinal,6.3,43.0,2.759302
558,Chasers,4.7,22.0,9.85327
559,Cronos,6.4,153.0,5.513024
560,Naked in New York,4.0,3.0,0.449733
561,Kika,6.8,58.0,3.647321
562,Bhaji on the Beach,5.1,10.0,0.44158500000000006
563,Little Big League,6.0,20.0,1.960563
564,The Slingshot,6.2,10.0,1.7645819999999999
565,Wide Eyed and Legless,0.0,0.0,0.00015
566,Foreign Student,0.0,0.0,0.0027890000000000002
567,"Ciao, Professore!",7.2,74.0,3.456868
568,Spanking the Monkey,5.3,29.0,2.799575
569,The Little Rascals,6.3,214.0,6.707109
570,À la mode,0.0,0.0,8.2e-05
